aparencia,temperatura,humidade,vento,play
ensolarado,quente,alta,falso,não
ensolarado,quente,alta,verdadeiro,não
nublado,quente,alta,falso,sim
chuvoso,suave,alta,falso,sim
chuvoso,frio,normal,falso,sim
chuvoso,frio,normal,verdadeiro,não
nublado,frio,normal,verdadeiro,sim
ensolarado,suave,alta,falso,não
ensolarado,frio,normal,falso,sim
chuvoso,suave,normal,falso,sim
ensolarado,suave,normal,verdadeiro,sim
nublado,suave,alta,verdadeiro,sim
nublado,quente,normal,falso,sim
chuvoso,suave,alta,verdadeiro,não